date,startup_name,industry,city,investment_type,amount_usd,period
2015-02-23,HomeLane,,,Private Equity,4500000.0,Pre-COVID
2015-02-24,Caravan Craft Retail,,,Seed,500000.0,Pre-COVID
2015-02-25,IndustryBuying,,,Private Equity,2000000.0,Pre-COVID
2015-02-25,SquadRun,,,Seed,,Pre-COVID
2015-02-25,Clonect Solutions,,,Seed,250000.0,Pre-COVID
2015-02-25,TaxSutra,,,Seed,160000.0,Pre-COVID
2015-02-25,PepperTap,,,Seed,,Pre-COVID
2015-02-25,Sattviko,,,Seed,320000.0,Pre-COVID
2015-02-26,FreshWorld,,,Seed,,Pre-COVID
2015-02-26,TinyOwl,,,Private Equity,16000000.0,Pre-COVID
2015-02-27,Momoe,,,Seed,1200000.0,Pre-COVID
2015-02-27,Grofers,,,Private Equity,10000000.0,Pre-COVID
2015-03-02,TrulyMadly.com,,,Private Equity,5500000.0,Pre-COVID
2015-03-02,InstaLively,,,Seed,120000.0,Pre-COVID
2015-03-03,Intruo.com,,,Seed,,Pre-COVID
2015-03-03,Vserv,,,Private Equity,15000000.0,Pre-COVID
2015-03-05,CustomFurnish.com,,,Private Equity,2500000.0,Pre-COVID
2015-03-05,Niffler,,,Seed,1000000.0,Pre-COVID
2015-03-06,MapMyGenome,,,Private Equity,1200000.0,Pre-COVID
2015-03-09,Crowdfire (formerly Justunfollow),,,Private Equity,2500000.0,Pre-COVID
2015-03-09,Bite Club,,,Seed,500000.0,Pre-COVID
2015-03-10,Localbanya,,,Private Equity,,Pre-COVID
2015-03-11,Appedo,,,Seed,1000000.0,Pre-COVID
2015-03-11,Fitraq.com,,,Seed,150000.0,Pre-COVID
2015-03-11,ChargeBee,,,Private Equity,5000000.0,Pre-COVID
2015-03-11,Groupon India,,,Private Equity,20000000.0,Pre-COVID
2015-03-12,Process 9,,,Seed,,Pre-COVID
2015-03-12,MoonFrog Labs,,,Private Equity,15000000.0,Pre-COVID
2015-03-13,Qyk,,,Seed,,Pre-COVID
2015-03-13,DiabetOmics,,,Private Equity,5000000.0,Pre-COVID
2015-03-13,Foodpanda,,,Private Equity,110000000.0,Pre-COVID
2015-03-13,Paytm,,,Private Equity,,Pre-COVID
2015-03-14,Daily Rounds,,,Seed,500000.0,Pre-COVID
2015-03-14,Orobind,,,Seed,200000.0,Pre-COVID
2015-03-14,Routofy,,,Seed,,Pre-COVID
2015-03-16,The Better India,,,Seed,166000.0,Pre-COVID
2015-03-16,NestAway,,,Seed,1300000.0,Pre-COVID
2015-03-16,Meru Cabs,,,Private Equity,50000000.0,Pre-COVID
2015-03-16,Digital Gorkha,,,Seed,166000.0,Pre-COVID
2015-03-17,GolfLAN,,,Seed,,Pre-COVID
2015-03-18,GoJavas,,,Private Equity,,Pre-COVID
2015-03-18,wWhere,,,Seed,200000.0,Pre-COVID
2015-03-18,Drivestream,,,Private Equity,5000000.0,Pre-COVID
2015-03-19,Graphic India,,,Seed,2800000.0,Pre-COVID
2015-03-19,Tripoto,,,Private Equity,2000000.0,Pre-COVID
